Position Title,Category,Duration,Key Programming & Technical Skills,Position ID,Deadline,City,Country
Summer 2026 Co-op: WiSE Full Stack Software Developer (4 months),Software Development / Engineering,"{
	  ""@context"" : ""http://schema.org/"",
	  ""@type"" : ""JobPosting"",
	  ""title"" : ""Summer 2026 Co-op: WiSE Full Stack Software Developer (4 )"",
	  ""description"" : ""At CGI we are committed to investing in the next generation of women leaders. Diversity of thought and experience are integral to pushing the boundaries of emerging technologies. Join our WiSE (Women in STEM Excel) co-op program designed specifically to prepare and equip future women leaders through mentorship, vast networking opportunities and professional development workshops.<br /><br />The WiSE program accelerates the development of future women leaders by providing a customized experience for participants:<br /><br />• Participate in a week of onboarding and integration activities starting on your first day at CGI, activities include:<br />- Business etiquette workshop<br />- Foundations of business consulting workshops<br />- Developing your elevator pitch workshop<br />- Networking with peers across Canada<br /><br />• Exposure to leaders through interactive sessions and a 1:1 mentorship with a CGI woman leader<br /><br />• Obtain the ScaledAgile SAFe for Teams Certification: Technical Skills Agility (ScaledAgile)SAFe for Teams will teach you all about your role on an Agile team and how agile teams work with others as part of an agile release train. Members learn how to plan and execute work, how to apply Scaled Agile Framework® and Agile principles, and how to continuously improve<br /><br />• Expand your network by participating in national and local social activities with other co-ops<br /><br />• Develop your own learning plan by leveraging our e-learning platform<br /><br />• Participate in professional development workshops focused on soft skill development<br /><br />• Participate in an AI hackathon where the top team wins a grand prize<br /><br />• Fast track to future new grad opportunities at CGI<br /><br /><strong>Start Date: May 4th, 2026</strong><br /><strong>Application Deadline: January 30th, 2026</strong><br /><br />CGI is providing a reasonable estimate of the pay range for this role. The determination of this range includes factors such as skill set level, geographic market, experience and training, and licenses and certifications. Compensation decisions depend on the facts and circumstances of each case. A reasonable estimate of the current range is $18-32/hour. This role is an existing vacancy."",
	  ""identifier"": {
	    ""@type"": ""PropertyValue"",
	    ""name"": ""CGI"",
	    ""value"": ""21001""
	  },
	  ""datePosted"" : ""2026-01-12"",

	  ""validThrough"" : ""2026-01-30"",

	  ""employmentType"" : ""OTHER"",
	  ""hiringOrganization"" : {
	    ""@type"" : ""Organization"",
	    ""name"" : ""CGI"",
	    ""sameAs"" : ""http://www.cgi.com"",
	    ""logo"" : ""https://cgi.njoyn.com/corp/xweb/clientfiles/cgi/logo3.png""
	  },
	  ""jobLocation"" : {
	    ""@type"" : ""Place"",
	    ""address"" : {
	      ""@type"" : ""PostalAddress"",
	      ""streetAddress"" : """",
	      ""addressLocality"" : ""Montréal"",
	      ""addressRegion"" : ""SK"",
	      ""postalCode"" : """",
	      ""addressCountry"": ""CA ""
	    }
	  }
	  
	}",.NET ; CSS ; HTML ; Java ; JavaScript ; PHP ; Python ; SQL Server,J0126-0658,"{
	  ""@context"" : ""http://schema.org/"",
	  ""@type"" : ""JobPosting"",
	  ""title"" : ""Summer 2026 Co-op: WiSE Full Stack Software Developer (4 months)"",
